ID,Nama,Jenis Kelamin,Usia,Tingkat Pendidikan,Pendapatan,Pengeluaran,Jam Kerja,Wilayah,Promo,Skor Loyalitas,Skor Kesehatan,Departemen,Pengalaman (Tahun),Hasil
502,Individu-502,Perempuan,35,Sarjana,4010.4,9950.67,32,Urban,No,61.07,65.13,Marketing,17,Average
503,Individu-503,Laki-Laki,58,SMA,14703.77,19083.13,45,Rural,No,89.18,93.78,Marketing,27,High Performer
504,Individu-504,Perempuan,18,Sarjana,29548.93,19691.67,15,Urban,Yes,17.47,58.39,HR,3,Low Performer
505,Individu-505,Perempuan,59,Diploma,6823.1,19801.55,27,Rural,Yes,39.7,64.75,HR,30,Low Performer
506,Individu-506,Laki-Laki,58,Diploma,1504.82,1106.11,45,Suburban,Yes,96.79,83.59,Operations,27,High Performer
507,Individu-507,Laki-Laki,53,Diploma,10796.98,2483.62,52,Urban,No,87.41,52.49,Operations,25,Average
508,Individu-508,Laki-Laki,44,Magister,21366.11,6355.99,77,Suburban,No,88.8,61.3,HR,14,Average
509,Individu-509,Laki-Laki,64,Magister,22085.68,11457.18,23,Suburban,No,95.97,87.81,Operations,7,High Performer
510,Individu-510,Perempuan,25,Magister,10722.62,14959.69,21,Suburban,Yes,74.61,51.25,HR,25,Average
511,Individu-511,Perempuan,47,Doktor,6141.84,19904.73,26,Urban,Yes,49.02,58.56,IT,37,Low Performer
512,Individu-512,Perempuan,54,SMA,19412.04,2658.48,51,Rural,No,21.61,69.68,Operations,13,Low Performer
513,Individu-513,Laki-Laki,59,Doktor,15701.86,9154.0,63,Rural,No,40.39,50.53,Finance,30,Low Performer
514,Individu-514,Perempuan,44,Diploma,2867.58,3869.07,75,Urban,No,22.67,95.2,Finance,8,Low Performer
515,Individu-515,Laki-Laki,27,SMA,21951.55,18147.77,66,Urban,Yes,58.56,83.76,Marketing,6,Average
516,Individu-516,Perempuan,25,Sarjana,15071.96,12711.42,30,Urban,Yes,49.06,95.79,IT,29,Low Performer
517,Individu-517,Perempuan,21,SMA,16080.23,15557.87,45,Urban,No,84.83,72.07,IT,23,Average
518,Individu-518,Laki-Laki,54,Sarjana,26099.58,12633.28,38,Suburban,Yes,73.22,66.64,Operations,28,Average
519,Individu-519,Perempuan,21,Doktor,8808.38,14060.95,61,Suburban,Yes,89.64,62.33,Marketing,13,Average
520,Individu-520,Perempuan,19,Sarjana,28639.18,1660.54,71,Rural,No,81.72,64.98,IT,39,Average
521,Individu-521,Perempuan,34,SMA,11243.75,695.27,29,Suburban,No,64.51,61.59,Marketing,1,Average
522,Individu-522,Perempuan,56,Sarjana,17219.03,16397.64,41,Rural,Yes,84.56,95.79,Finance,17,High Performer
523,Individu-523,Perempuan,36,Diploma,27460.61,10468.33,73,Suburban,Yes,48.15,83.74,HR,20,Low Performer
524,Individu-524,Laki-Laki,56,Diploma,23739.62,13050.82,41,Urban,Yes,29.8,61.14,Marketing,3,Low Performer
525,Individu-525,Laki-Laki,50,Magister,3476.79,5455.96,24,Urban,No,12.26,98.26,HR,15,Low Performer
526,Individu-526,Laki-Laki,44,Diploma,23880.2,15425.8,48,Suburban,Yes,4.01,60.06,IT,34,Low Performer
527,Individu-527,Laki-Laki,22,Doktor,23178.81,9080.16,12,Urban,Yes,86.48,85.55,IT,23,High Performer
528,Individu-528,Laki-Laki,27,Diploma,8525.62,19762.65,44,Rural,Yes,58.08,79.28,Finance,14,Average
529,Individu-529,Perempuan,43,Diploma,3255.17,15110.37,12,Urban,No,69.94,80.86,Operations,39,Average
530,Individu-530,Perempuan,40,SMA,10659.89,15044.4,75,Suburban,No,1.83,71.64,Marketing,39,Low Performer
531,Individu-531,Perempuan,22,Magister,2406.49,17388.3,59,Urban,Yes,7.41,79.12,Marketing,14,Low Performer
532,Individu-532,Perempuan,22,Magister,13207.67,11053.45,10,Urban,No,3.67,68.29,HR,3,Low Performer
533,Individu-533,Perempuan,26,Sarjana,7155.65,13055.15,27,Rural,Yes,65.3,68.96,Marketing,37,Average
534,Individu-534,Laki-Laki,35,SMA,3957.61,595.31,16,Rural,Yes,4.45,89.63,IT,30,Low Performer
535,Individu-535,Perempuan,24,Diploma,7787.98,13104.37,75,Urban,No,52.95,84.5,HR,8,Average
536,Individu-536,Laki-Laki,24,Magister,19352.14,11272.93,13,Urban,Yes,12.3,57.34,IT,11,Low Performer
537,Individu-537,Laki-Laki,59,Diploma,15295.93,18658.02,65,Suburban,No,28.47,66.52,Operations,13,Low Performer
538,Individu-538,Laki-Laki,26,SMA,6912.91,5389.32,42,Urban,No,17.15,77.28,Operations,10,Low Performer
539,Individu-539,Laki-Laki,27,SMA,21638.85,19812.78,23,Suburban,Yes,99.66,52.04,IT,9,Average
540,Individu-540,Laki-Laki,63,SMA,9114.9,8988.38,46,Rural,Yes,83.83,62.75,Finance,6,Average
541,Individu-541,Perempuan,59,Diploma,12785.3,11683.15,16,Suburban,No,17.71,79.96,Finance,29,Low Performer
542,Individu-542,Laki-Laki,61,Sarjana,6898.54,10213.71,54,Urban,Yes,22.67,64.34,HR,26,Low Performer
543,Individu-543,Laki-Laki,51,Doktor,2886.39,2358.05,60,Suburban,Yes,49.78,89.75,Operations,28,Low Performer
544,Individu-544,Laki-Laki,58,Doktor,14796.26,381.97,79,Suburban,Yes,56.31,83.78,Operations,9,Average
545,Individu-545,Perempuan,48,Diploma,3700.5,13856.05,78,Rural,No,69.3,57.95,Operations,40,Average
546,Individu-546,Perempuan,45,Sarjana,11180.23,6499.64,72,Suburban,No,37.2,91.6,HR,29,Low Performer
547,Individu-547,Laki-Laki,25,SMA,25886.54,17152.01,70,Suburban,Yes,95.66,56.14,Marketing,10,Average
548,Individu-548,Laki-Laki,37,SMA,3318.75,7988.53,22,Rural,No,29.69,91.45,Operations,9,Low Performer
549,Individu-549,Laki-Laki,51,Diploma,25431.75,17103.63,74,Rural,Yes,77.37,95.82,HR,13,Average
550,Individu-550,Laki-Laki,37,Doktor,20573.24,6937.06,13,Urban,Yes,24.83,85.69,Finance,34,Low Performer
551,Individu-551,Laki-Laki,39,Sarjana,12255.79,9838.39,58,Urban,Yes,41.12,50.28,Marketing,35,Low Performer
552,Individu-552,Perempuan,29,SMA,8409.85,5877.19,64,Urban,Yes,48.85,57.68,Finance,12,Low Performer
553,Individu-553,Laki-Laki,43,SMA,9069.04,8169.89,60,Rural,No,64.16,99.69,Finance,13,Average
554,Individu-554,Perempuan,60,Diploma,27250.26,10254.06,40,Suburban,No,49.72,51.41,Finance,19,Low Performer
555,Individu-555,Laki-Laki,21,SMA,14961.53,12905.24,15,Rural,Yes,81.57,63.07,Operations,10,Average
556,Individu-556,Laki-Laki,56,Doktor,23879.22,17801.42,55,Rural,Yes,57.52,69.57,Marketing,27,Average
557,Individu-557,Perempuan,45,Diploma,16988.39,906.9,52,Suburban,No,53.76,60.02,IT,16,Average
558,Individu-558,Laki-Laki,44,SMA,28563.85,7331.41,48,Rural,No,88.11,68.18,IT,2,Average
559,Individu-559,Perempuan,37,Doktor,15283.33,19933.44,44,Urban,No,42.04,91.2,Marketing,37,Low Performer
560,Individu-560,Laki-Laki,54,Doktor,20410.99,11003.67,65,Suburban,No,13.85,91.17,Marketing,31,Low Performer
561,Individu-561,Perempuan,28,Doktor,28167.58,9050.75,53,Rural,Yes,29.25,95.46,Marketing,14,Low Performer
562,Individu-562,Perempuan,65,Magister,15657.08,7130.43,74,Urban,No,30.54,97.32,Finance,14,Low Performer
563,Individu-563,Perempuan,46,Doktor,5827.41,6074.69,64,Urban,No,14.79,83.96,Operations,12,Low Performer
564,Individu-564,Laki-Laki,25,Doktor,11270.68,4908.71,23,Urban,No,79.55,68.4,HR,39,Average
565,Individu-565,Perempuan,20,Magister,18483.83,15351.7,17,Rural,No,65.9,67.52,Operations,31,Average
566,Individu-566,Laki-Laki,61,SMA,28272.29,7767.15,63,Urban,Yes,62.58,98.12,HR,9,Average
567,Individu-567,Laki-Laki,18,Magister,19297.61,18514.24,20,Rural,No,75.83,96.08,HR,4,Average
568,Individu-568,Laki-Laki,31,SMA,13388.24,19683.58,78,Urban,Yes,91.29,96.29,Marketing,11,High Performer
569,Individu-569,Perempuan,51,Sarjana,2439.77,9240.67,78,Rural,No,24.08,82.87,Operations,34,Low Performer
570,Individu-570,Perempuan,56,SMA,10094.71,10247.67,31,Urban,Yes,41.12,50.4,Operations,16,Low Performer
571,Individu-571,Laki-Laki,41,Doktor,27132.08,19380.39,17,Urban,No,32.34,96.47,HR,27,Low Performer
572,Individu-572,Perempuan,57,SMA,13969.0,16348.59,23,Urban,No,76.56,78.73,Operations,36,Average
573,Individu-573,Laki-Laki,43,Magister,29135.44,2225.85,72,Urban,No,15.55,66.7,HR,30,Low Performer
574,Individu-574,Laki-Laki,41,Sarjana,13335.0,13119.47,71,Urban,Yes,21.93,90.4,Marketing,28,Low Performer
575,Individu-575,Laki-Laki,41,Diploma,2665.99,7606.96,38,Rural,No,16.62,72.12,IT,18,Low Performer
576,Individu-576,Laki-Laki,44,Diploma,9253.99,8119.4,32,Rural,No,62.29,60.11,HR,15,Average
577,Individu-577,Perempuan,28,Doktor,29132.94,8016.04,50,Rural,No,88.17,52.33,Marketing,14,Average
578,Individu-578,Perempuan,26,Diploma,20249.06,14865.59,44,Suburban,No,21.01,85.75,Marketing,13,Low Performer
579,Individu-579,Perempuan,43,Magister,15635.01,10356.4,74,Suburban,No,51.42,68.95,HR,7,Average
580,Individu-580,Perempuan,48,Doktor,10488.03,10126.16,39,Urban,Yes,45.18,54.31,IT,26,Low Performer
581,Individu-581,Laki-Laki,65,Doktor,1825.35,4361.26,15,Suburban,No,1.83,76.61,Marketing,33,Low Performer
582,Individu-582,Perempuan,34,Diploma,24990.98,11447.22,53,Suburban,Yes,20.51,60.39,IT,11,Low Performer
583,Individu-583,Perempuan,32,Sarjana,15345.76,4782.1,26,Urban,No,38.21,63.85,Finance,40,Low Performer
584,Individu-584,Laki-Laki,22,Diploma,22179.31,7304.65,25,Urban,No,31.8,95.11,HR,1,Low Performer
585,Individu-585,Perempuan,31,Magister,24721.59,17817.18,69,Suburban,No,2.38,88.14,Finance,38,Low Performer
586,Individu-586,Laki-Laki,65,Magister,5321.05,12241.36,25,Urban,Yes,2.72,88.4,Marketing,20,Low Performer
587,Individu-587,Perempuan,62,Diploma,14125.66,17991.08,24,Rural,Yes,51.82,99.34,HR,19,Average
588,Individu-588,Laki-Laki,35,Doktor,19635.13,8632.29,21,Urban,Yes,4.55,78.46,IT,7,Low Performer
589,Individu-589,Laki-Laki,36,Doktor,19584.44,3743.01,46,Suburban,No,2.35,80.26,Finance,9,Low Performer
590,Individu-590,Perempuan,54,Magister,20231.37,19551.87,67,Suburban,No,56.46,99.14,IT,16,Average
591,Individu-591,Perempuan,31,Diploma,1621.81,12153.62,79,Urban,No,27.92,67.83,HR,38,Low Performer
592,Individu-592,Laki-Laki,54,Sarjana,8760.76,16200.12,40,Urban,No,13.6,85.75,IT,11,Low Performer
593,Individu-593,Perempuan,22,Doktor,17142.47,1163.32,57,Suburban,Yes,65.23,53.01,Marketing,37,Average
594,Individu-594,Perempuan,52,SMA,12662.59,13488.14,12,Rural,Yes,34.66,67.28,IT,34,Low Performer
595,Individu-595,Perempuan,42,Magister,20649.91,9461.89,44,Suburban,No,54.65,56.79,HR,7,Average
596,Individu-596,Perempuan,47,Magister,29994.14,9823.57,27,Urban,No,48.61,83.53,Marketing,39,Low Performer
597,Individu-597,Laki-Laki,29,Sarjana,19334.17,3794.25,75,Rural,No,70.4,78.49,IT,6,Average
598,Individu-598,Laki-Laki,63,SMA,19199.88,18145.58,12,Urban,Yes,26.56,85.85,Operations,17,Low Performer
599,Individu-599,Perempuan,32,Doktor,28334.97,13862.1,43,Suburban,No,98.21,96.59,Finance,34,High Performer
600,Individu-600,Laki-Laki,33,Doktor,17040.3,1711.68,50,Suburban,Yes,33.62,65.92,Operations,14,Low Performer
601,Individu-601,Laki-Laki,65,SMA,4579.26,540.13,48,Rural,No,17.41,70.69,HR,24,Low Performer
602,Individu-602,Perempuan,46,SMA,5439.58,17407.11,17,Urban,Yes,43.11,71.91,Operations,25,Low Performer
603,Individu-603,Perempuan,43,Magister,10062.78,2696.87,45,Rural,Yes,62.07,69.87,Operations,34,Average
604,Individu-604,Perempuan,44,Magister,14645.87,10794.52,13,Urban,No,57.91,62.47,Marketing,19,Average
605,Individu-605,Laki-Laki,28,Magister,11242.52,13266.97,48,Urban,No,66.27,64.47,HR,11,Average
606,Individu-606,Laki-Laki,58,SMA,16952.78,7837.84,62,Rural,No,70.51,79.46,Operations,3,Average
607,Individu-607,Perempuan,64,Magister,22531.02,14878.72,41,Rural,Yes,82.07,60.14,Marketing,10,Average
608,Individu-608,Laki-Laki,26,Doktor,15635.29,14817.64,31,Urban,No,73.01,52.12,IT,4,Average
609,Individu-609,Perempuan,57,Sarjana,11906.62,17532.43,26,Urban,Yes,82.68,89.79,Marketing,15,High Performer
610,Individu-610,Laki-Laki,31,SMA,25625.37,9647.97,47,Rural,No,88.72,58.58,Finance,17,Average
611,Individu-611,Laki-Laki,24,Diploma,27691.57,19904.25,47,Rural,No,29.53,68.9,Operations,8,Low Performer
612,Individu-612,Laki-Laki,38,Magister,18243.86,14078.97,66,Rural,No,95.55,52.9,Marketing,37,Average
613,Individu-613,Perempuan,36,Diploma,27309.92,10582.47,69,Rural,No,15.43,72.21,IT,38,Low Performer
614,Individu-614,Laki-Laki,54,Diploma,21057.71,5912.91,61,Urban,No,79.68,96.39,Marketing,24,Average
615,Individu-615,Laki-Laki,51,Doktor,18261.03,1870.86,25,Suburban,Yes,3.7,83.41,HR,35,Low Performer
616,Individu-616,Laki-Laki,36,Diploma,18623.28,9124.53,63,Suburban,Yes,80.08,98.1,IT,4,High Performer
617,Individu-617,Laki-Laki,50,SMA,12290.96,15334.68,40,Suburban,Yes,1.87,82.46,Marketing,23,Low Performer
618,Individu-618,Laki-Laki,34,Sarjana,20739.23,18036.71,19,Rural,Yes,68.21,68.4,Operations,27,Average
619,Individu-619,Laki-Laki,64,Diploma,3858.48,13899.55,10,Rural,Yes,78.78,52.65,HR,14,Average
620,Individu-620,Laki-Laki,23,SMA,15388.39,13424.96,10,Rural,No,18.68,60.46,Operations,26,Low Performer
621,Individu-621,Laki-Laki,54,Sarjana,7608.21,18088.91,17,Rural,Yes,30.37,52.27,IT,13,Low Performer
622,Individu-622,Perempuan,48,SMA,22594.64,15812.31,38,Rural,Yes,11.78,65.45,Marketing,38,Low Performer
623,Individu-623,Laki-Laki,47,Doktor,23003.49,8252.02,37,Rural,No,76.26,59.96,Finance,30,Average
624,Individu-624,Laki-Laki,28,Diploma,9229.34,11534.83,18,Suburban,Yes,71.02,56.38,IT,28,Average
625,Individu-625,Perempuan,38,Doktor,10924.86,5116.55,62,Suburban,Yes,69.1,88.42,Finance,23,Average
626,Individu-626,Laki-Laki,35,Doktor,3993.02,15709.55,46,Suburban,No,5.81,87.95,Operations,32,Low Performer
627,Individu-627,Perempuan,23,Doktor,15127.77,10866.88,42,Urban,No,87.23,97.86,IT,19,High Performer
628,Individu-628,Perempuan,30,Magister,27205.62,17884.85,12,Rural,Yes,19.91,65.06,HR,19,Low Performer
629,Individu-629,Laki-Laki,49,Sarjana,18199.27,18265.48,79,Urban,Yes,58.98,97.6,IT,26,Average
630,Individu-630,Laki-Laki,21,Magister,15361.95,3216.69,19,Suburban,No,40.6,67.49,HR,28,Low Performer
631,Individu-631,Laki-Laki,57,Diploma,11924.13,15307.05,37,Suburban,Yes,98.6,91.74,Marketing,22,High Performer
632,Individu-632,Laki-Laki,27,Diploma,20205.05,19937.47,15,Suburban,Yes,57.2,98.56,IT,19,Average
633,Individu-633,Perempuan,57,Doktor,25795.39,12636.04,44,Rural,Yes,47.6,93.55,HR,38,Low Performer
634,Individu-634,Laki-Laki,54,Doktor,12079.07,8285.28,78,Suburban,Yes,25.81,86.16,Finance,29,Low Performer
635,Individu-635,Perempuan,20,Sarjana,10862.18,3705.17,14,Urban,No,4.35,55.39,Operations,35,Low Performer
636,Individu-636,Laki-Laki,23,Diploma,11286.46,590.04,70,Rural,Yes,83.83,94.65,Finance,19,High Performer
637,Individu-637,Perempuan,54,Diploma,11381.0,18884.73,80,Urban,No,67.87,82.85,IT,2,Average
638,Individu-638,Perempuan,63,Magister,17090.68,13940.65,64,Rural,Yes,15.12,88.31,HR,21,Low Performer
639,Individu-639,Laki-Laki,28,Diploma,20706.25,10136.2,51,Urban,No,81.72,58.37,IT,19,Average
640,Individu-640,Perempuan,37,Doktor,10823.39,19301.78,66,Rural,No,66.87,81.7,Operations,1,Average
641,Individu-641,Perempuan,55,Diploma,5654.73,14309.33,47,Suburban,No,58.82,96.08,Marketing,22,Average
642,Individu-642,Laki-Laki,49,Sarjana,25242.72,3076.49,10,Rural,Yes,84.7,61.93,HR,21,Average
643,Individu-643,Perempuan,65,Diploma,5346.79,1080.93,18,Rural,No,99.89,78.9,Marketing,6,Average
644,Individu-644,Perempuan,48,Sarjana,21062.63,6348.18,28,Urban,No,62.59,95.45,Marketing,3,Average
645,Individu-645,Perempuan,43,Doktor,19108.03,13565.29,75,Suburban,Yes,32.17,97.07,HR,20,Low Performer
646,Individu-646,Laki-Laki,27,Diploma,23588.5,6921.0,20,Suburban,Yes,16.59,64.38,Finance,32,Low Performer
647,Individu-647,Laki-Laki,58,SMA,18520.72,12418.74,29,Suburban,No,59.74,88.56,Finance,14,Average
648,Individu-648,Perempuan,59,Doktor,8956.89,11293.21,16,Rural,No,15.85,61.74,HR,2,Low Performer
649,Individu-649,Perempuan,25,SMA,7290.24,1537.19,29,Rural,Yes,30.35,67.36,IT,19,Low Performer
650,Individu-650,Laki-Laki,45,Magister,26390.49,14127.38,39,Suburban,No,86.58,74.45,Finance,10,Average
651,Individu-651,Perempuan,31,Diploma,14416.38,4195.04,19,Suburban,No,63.76,76.75,Operations,21,Average
652,Individu-652,Perempuan,27,SMA,27643.98,12347.08,57,Rural,Yes,94.94,54.27,Finance,31,Average
653,Individu-653,Perempuan,56,Magister,7113.53,15579.57,62,Suburban,Yes,56.06,93.17,Finance,11,Average
654,Individu-654,Laki-Laki,53,Magister,15546.39,6736.96,70,Urban,No,54.05,62.65,IT,24,Average
655,Individu-655,Perempuan,54,SMA,21737.49,7008.45,74,Rural,No,84.14,66.86,Operations,15,Average
656,Individu-656,Perempuan,33,Sarjana,26842.07,11699.08,55,Rural,Yes,76.59,97.66,HR,36,Average
657,Individu-657,Laki-Laki,54,Diploma,26743.47,3954.43,15,Suburban,Yes,60.12,89.42,HR,40,Average
658,Individu-658,Laki-Laki,40,SMA,16995.57,13508.57,42,Suburban,Yes,49.17,53.02,HR,4,Low Performer
659,Individu-659,Perempuan,35,SMA,13834.28,11763.68,22,Urban,No,83.22,93.24,IT,33,High Performer
660,Individu-660,Laki-Laki,20,Magister,9806.0,10458.52,25,Rural,No,86.68,62.94,Operations,30,Average
661,Individu-661,Laki-Laki,32,Doktor,2226.35,14697.93,12,Urban,No,72.3,72.79,IT,18,Average
662,Individu-662,Laki-Laki,62,Magister,13973.31,1712.62,23,Urban,Yes,84.53,68.09,HR,34,Average
663,Individu-663,Perempuan,53,Sarjana,5863.99,732.83,60,Suburban,Yes,81.94,82.97,Operations,32,High Performer
664,Individu-664,Laki-Laki,60,SMA,15272.33,18578.87,22,Urban,Yes,23.25,77.86,Finance,32,Low Performer
665,Individu-665,Laki-Laki,55,Diploma,22289.42,15794.8,31,Suburban,Yes,49.33,81.06,Finance,15,Low Performer
666,Individu-666,Perempuan,30,Diploma,6250.24,9489.35,65,Suburban,Yes,99.5,95.29,Marketing,31,High Performer
667,Individu-667,Laki-Laki,27,SMA,5442.85,4958.58,53,Urban,Yes,31.38,96.63,Operations,38,Low Performer
668,Individu-668,Laki-Laki,54,Doktor,25509.71,8812.32,18,Suburban,Yes,33.64,85.53,Marketing,12,Low Performer
669,Individu-669,Laki-Laki,57,Diploma,14847.05,5519.54,77,Suburban,Yes,56.69,92.2,Finance,25,Average
670,Individu-670,Perempuan,53,Magister,22144.83,5326.33,67,Rural,No,1.39,95.07,Marketing,40,Low Performer
671,Individu-671,Laki-Laki,36,Magister,9367.44,426.4,24,Rural,Yes,94.34,83.62,HR,11,High Performer
672,Individu-672,Laki-Laki,23,Diploma,17400.05,1211.72,46,Rural,No,46.99,98.38,Marketing,27,Low Performer
673,Individu-673,Perempuan,55,Magister,11462.76,19720.0,50,Urban,No,66.44,73.73,Marketing,4,Average
674,Individu-674,Laki-Laki,51,Sarjana,18989.44,6371.74,22,Rural,Yes,53.09,88.83,Operations,34,Average
675,Individu-675,Perempuan,55,Doktor,27047.69,11173.79,15,Urban,Yes,32.5,94.07,Operations,35,Low Performer
676,Individu-676,Laki-Laki,39,SMA,27368.06,15673.23,72,Rural,No,85.33,97.0,Finance,28,High Performer
677,Individu-677,Laki-Laki,52,Magister,5855.56,3625.1,44,Urban,Yes,88.09,76.36,Finance,21,Average
678,Individu-678,Perempuan,55,Diploma,6140.38,7351.91,45,Suburban,No,27.6,82.87,IT,10,Low Performer
679,Individu-679,Perempuan,64,Doktor,9976.57,10495.88,25,Rural,Yes,5.65,59.37,HR,17,Low Performer
680,Individu-680,Perempuan,29,Magister,22700.29,7919.59,27,Suburban,No,48.96,51.38,HR,14,Low Performer
681,Individu-681,Perempuan,41,Diploma,23393.62,15082.62,68,Rural,Yes,34.21,84.11,HR,10,Low Performer
682,Individu-682,Perempuan,24,Doktor,27933.85,14082.06,53,Suburban,No,83.85,73.5,Operations,17,Average
683,Individu-683,Laki-Laki,41,Diploma,14071.3,6877.61,17,Rural,Yes,92.27,76.75,Marketing,23,Average
684,Individu-684,Laki-Laki,24,Diploma,16666.4,6619.29,23,Suburban,No,39.8,83.21,Operations,40,Low Performer
685,Individu-685,Perempuan,43,SMA,3225.35,13664.5,50,Rural,No,25.57,52.21,HR,36,Low Performer
686,Individu-686,Laki-Laki,53,Magister,15631.65,12593.18,30,Rural,No,57.87,65.74,HR,31,Average
687,Individu-687,Laki-Laki,34,SMA,8228.77,11879.52,35,Urban,No,88.35,65.63,Operations,31,Average
688,Individu-688,Perempuan,35,Magister,14245.53,18859.06,69,Suburban,No,62.33,88.93,Operations,10,Average
689,Individu-689,Laki-Laki,56,SMA,12053.86,3040.22,40,Urban,Yes,48.73,58.97,IT,26,Low Performer
690,Individu-690,Perempuan,58,SMA,3426.1,9831.77,45,Rural,Yes,47.69,93.4,Marketing,17,Low Performer
691,Individu-691,Laki-Laki,24,SMA,26427.38,16170.5,52,Urban,Yes,3.12,57.59,IT,30,Low Performer
692,Individu-692,Laki-Laki,26,Sarjana,1774.55,19246.16,30,Suburban,No,27.52,92.37,Marketing,11,Low Performer
693,Individu-693,Laki-Laki,61,Sarjana,6786.53,4344.72,77,Rural,No,43.16,61.04,Operations,35,Low Performer
694,Individu-694,Perempuan,56,Sarjana,25041.3,10285.04,34,Suburban,No,76.83,55.79,IT,34,Average
695,Individu-695,Perempuan,18,Sarjana,4756.01,5647.22,23,Urban,No,86.19,73.64,Finance,37,Average
696,Individu-696,Perempuan,33,Diploma,11455.02,17553.27,69,Urban,No,43.49,85.68,HR,36,Low Performer
697,Individu-697,Perempuan,24,Sarjana,24849.15,19644.3,17,Rural,No,36.52,73.58,IT,15,Low Performer
698,Individu-698,Laki-Laki,57,Doktor,9519.59,6420.37,49,Urban,No,42.2,58.56,IT,11,Low Performer
699,Individu-699,Laki-Laki,44,SMA,7584.12,13481.83,47,Urban,No,32.0,97.1,HR,33,Low Performer
700,Individu-700,Laki-Laki,44,Magister,13569.66,5885.35,13,Urban,No,98.6,51.81,Finance,26,Average
701,Individu-701,Laki-Laki,52,Doktor,25504.37,15774.83,45,Suburban,Yes,43.22,59.62,HR,20,Low Performer
702,Individu-702,Perempuan,24,Diploma,9705.0,8977.13,41,Suburban,No,89.8,78.31,IT,15,Average
703,Individu-703,Perempuan,25,Magister,4473.18,17808.15,66,Urban,Yes,42.24,56.6,Finance,38,Low Performer
704,Individu-704,Laki-Laki,20,SMA,9323.87,11003.26,32,Rural,Yes,58.52,71.27,Operations,6,Average
705,Individu-705,Perempuan,39,Diploma,24267.99,12430.68,52,Rural,No,31.15,85.72,Operations,38,Low Performer
706,Individu-706,Laki-Laki,57,Magister,26392.66,3753.09,39,Rural,Yes,50.07,79.86,Operations,34,Average
707,Individu-707,Perempuan,56,SMA,10871.0,3716.57,59,Rural,Yes,22.84,86.06,Finance,27,Low Performer
708,Individu-708,Laki-Laki,58,Diploma,16216.39,496.57,21,Rural,No,70.53,70.05,IT,33,Average
709,Individu-709,Perempuan,39,Doktor,1525.84,10279.93,34,Rural,Yes,17.47,51.24,Operations,20,Low Performer
710,Individu-710,Laki-Laki,22,Diploma,19195.0,12361.44,65,Rural,No,66.89,61.72,Operations,25,Average
711,Individu-711,Perempuan,36,Sarjana,27995.63,14805.91,72,Rural,No,92.99,63.79,Finance,15,Average
712,Individu-712,Laki-Laki,42,Magister,22585.47,1161.98,56,Rural,Yes,59.1,58.79,HR,36,Average
713,Individu-713,Laki-Laki,48,Sarjana,10332.33,3208.4,26,Suburban,No,4.67,61.85,IT,9,Low Performer
714,Individu-714,Perempuan,44,Doktor,8423.26,12320.52,25,Urban,Yes,92.91,50.38,Operations,38,Average
715,Individu-715,Laki-Laki,19,SMA,5528.71,1647.82,60,Rural,Yes,51.03,97.42,IT,13,Average
716,Individu-716,Laki-Laki,56,SMA,15875.91,5846.04,32,Rural,No,45.17,84.19,HR,40,Low Performer
717,Individu-717,Perempuan,45,Sarjana,22683.81,9736.42,27,Suburban,Yes,7.93,95.38,Finance,40,Low Performer
718,Individu-718,Laki-Laki,65,Doktor,25490.81,18136.28,23,Suburban,Yes,68.45,94.15,HR,32,Average
719,Individu-719,Laki-Laki,33,SMA,22198.33,15141.49,54,Suburban,Yes,62.02,54.71,Marketing,11,Average
720,Individu-720,Laki-Laki,54,Doktor,16437.57,8766.67,18,Urban,Yes,6.78,77.28,HR,12,Low Performer
721,Individu-721,Laki-Laki,60,SMA,6873.62,19597.57,36,Urban,No,59.89,57.04,Finance,27,Average
722,Individu-722,Laki-Laki,37,Sarjana,15338.72,19492.36,46,Suburban,Yes,39.26,72.79,Finance,35,Low Performer
723,Individu-723,Laki-Laki,59,Doktor,20782.0,7470.67,76,Urban,Yes,25.42,85.23,IT,5,Low Performer
724,Individu-724,Laki-Laki,34,Diploma,2598.37,982.32,56,Suburban,No,85.65,91.94,Marketing,11,High Performer
725,Individu-725,Laki-Laki,26,Diploma,10008.66,1893.56,41,Rural,No,81.7,79.6,Finance,7,Average
726,Individu-726,Perempuan,22,Diploma,17136.46,365.19,32,Rural,Yes,72.7,61.36,IT,25,Average
727,Individu-727,Perempuan,54,Magister,19584.13,12112.06,67,Urban,Yes,2.07,54.89,Operations,28,Low Performer
728,Individu-728,Perempuan,48,SMA,23824.66,4208.87,12,Suburban,No,96.55,98.42,HR,1,High Performer
729,Individu-729,Laki-Laki,39,SMA,4603.0,582.04,75,Urban,No,67.22,75.94,Operations,26,Average
730,Individu-730,Laki-Laki,39,Doktor,1703.11,6281.32,79,Suburban,No,15.33,84.43,HR,35,Low Performer
731,Individu-731,Laki-Laki,23,Doktor,17494.25,8996.5,55,Rural,Yes,46.67,80.37,Finance,2,Low Performer
732,Individu-732,Perempuan,61,Diploma,10573.6,3541.68,31,Urban,No,5.34,67.39,Marketing,5,Low Performer
733,Individu-733,Perempuan,59,Magister,4523.49,13315.54,50,Urban,Yes,75.78,54.0,IT,3,Average
734,Individu-734,Perempuan,52,Doktor,25105.22,16428.68,45,Rural,No,47.72,65.66,Finance,22,Low Performer
